Engine,Testbench,Total_Power(W),Dynamic_Power(W),Static_Power(W),Systolic_Power(W)
M5no4,tb_zrzr,0.213,0.105,0.108,0.034
M5no5,tb_nznz,0.258,0.149,0.109,0.071
M5no5,tb_nzzr,0.204,0.096,0.108,0.026
M5no5,tb_swnz,0.251,0.143,0.109,0.064
M5no5,tb_swzr,0.205,0.097,0.108,0.026
M5no5,tb_zrnz,0.199,0.092,0.108,0.022
M5no5,tb_zrzr,0.205,0.097,0.108,0.026
M5no6,tb_nznz,0.259,0.15,0.109,0.071
M5no6,tb_nzzr,0.205,0.097,0.108,0.026
M5no6,tb_swnz,0.252,0.143,0.109,0.064
M5no6,tb_swzr,0.205,0.097,0.108,0.027
M5no6,tb_zrnz,0.2,0.092,0.108,0.022
M5no6,tb_zrzr,0.205,0.097,0.108,0.027
M5no7,tb_nznz,0.259,0.15,0.109,0.071
M5no7,tb_nzzr,0.212,0.104,0.108,0.034
M5no7,tb_swnz,0.252,0.143,0.109,0.064
M5no7,tb_swzr,0.213,0.105,0.108,0.035
M5no7,tb_zrnz,0.2,0.093,0.108,0.023
M5no7,tb_zrzr,0.213,0.105,0.108,0.035
M5no8,tb_nznz,0.259,0.151,0.109,0.071
M5no8,tb_nzzr,0.205,0.098,0.108,0.027
M5no8,tb_swnz,0.253,0.144,0.109,0.065
M5no8,tb_swzr,0.206,0.098,0.108,0.027
M5no8,tb_zrnz,0.201,0.093,0.108,0.023
M5no8,tb_zrzr,0.206,0.098,0.108,0.027
M5no9,tb_nznz,0.259,0.15,0.109,0.072
M5no9,tb_nzzr,0.205,0.097,0.108,0.027
M5no9,tb_swnz,0.252,0.143,0.109,0.065
M5no9,tb_swzr,0.206,0.098,0.108,0.028
M5no9,tb_zrnz,0.201,0.093,0.108,0.023
M5no9,tb_zrzr,0.206,0.098,0.108,0.028
